Attempt,Algorithm,Length,Time,,,,,,,,,,
13,A*,12,0.00018,,,,,,,,,,
13,A*,13,5.00E-05,,,,,,,,,,
13,A*,14,7.00E-05,,,,,,,,,,
13,A*,15,0.00053,,,,,,,,,,
13,A*,16,0.00021,,,,,,,,,,
13,A*,17,9.00E-05,,,,,,,,,,
13,A*,18,6.00E-05,,,,,,,,,,
14,A*,3,0.00012,,,,,,,,,,
14,A*,4,0.00019,,,,,,,,,,
14,A*,5,1.00E-05,,,,,,,,,,
14,A*,6,0.00025,,,,,,,,,,
14,A*,7,0.00024,,,,,,,,,,
14,A*,8,0.00038,,,,,,,,,,
14,A*,9,0.00022,,,,,,,,,,
14,A*,10,4.00E-05,,,,,,,,,,
14,A*,11,0.00021,,,,,,,,,,
14,A*,12,0.00025,,,,,,,,,,
14,A*,13,0.00012,,,,,,,,,,
14,A*,14,0.00023,,,,,,,,,,
14,A*,15,0.00019,,,,,,,,,,
14,A*,16,7.00E-05,,,,,,,,,,
14,A*,17,0.00027,,,,,,,,,,
14,A*,18,4.00E-05,,,,,,,,,,
15,A*,3,0.0001,,,,,,,,,,
15,A*,4,0.00017,,,,,,,,,,
15,A*,5,0.00031,,,,,,,,,,
15,A*,6,0.00045,,,,,,,,,,
15,A*,7,0.00043,,,,,,,,,,
15,A*,8,0.00059,,,,,,,,,,
15,A*,9,5.00E-05,,,,,,,,,,
15,A*,10,0.00055,,,,,,,,,,
15,A*,11,0.00052,,,,,,,,,,
16,A*,3,9.00E-05,,,,,,,,,,
16,A*,4,0.00033,,,,,,,,,,
16,A*,5,0.00054,,,,,,,,,,
16,A*,6,0.00037,,,,,,,,,,
16,A*,7,0.00036,,,,,,,,,,
16,A*,8,0.00051,,,,,,,,,,
16,A*,9,0.0009,,,,,,,,,,
16,A*,10,0.00011,,,,,,,,,,
16,A*,11,7.00E-05,,,,,,,,,,
16,A*,12,2.00E-05,,,,,,,,,,
17,A*,3,7.00E-05,,,,,,,,,,
17,A*,4,0.00042,,,,,,,,,,
17,A*,5,0.00018,,,,,,,,,,
17,A*,6,0.00029,,,,,,,,,,
17,A*,7,0.00054,,,,,,,,,,
17,A*,8,0.00013,,,,,,,,,,
17,A*,9,0.0003,,,,,,,,,,
17,A*,10,0.00012,,,,,,,,,,
17,A*,11,0.00054,,,,,,,,,,
17,A*,12,7.00E-05,,,,,,,,,,
17,A*,13,2.00E-05,,,,,,,,,,
17,A*,14,0.00028,,,,,,,,,,
17,A*,15,0.00015,,,,,,,,,,
18,A*,3,7.00E-05,,,,,,,,,,
18,A*,4,8.00E-05,,,,,,,,,,
18,A*,5,5.00E-05,,,,,,,,,,
18,A*,6,0.00051,,,,,,,,,,
18,A*,7,0.00078,,,,,,,,,,
18,A*,8,0.00021,,,,,,,,,,
18,A*,9,3.00E-05,,,,,,,,,,
18,A*,10,0.0003,,,,,,,,,,
18,A*,11,0.00032,,,,,,,,,,
18,A*,12,6.00E-05,,,,,,,,,,
18,A*,13,3.00E-05,,,,,,,,,,
18,A*,14,0.00024,,,,,,,,,,
18,A*,15,0.00017,,,,,,,,,,
18,A*,16,5.00E-05,,,,,,,,,,
18,A*,17,0.00016,,,,,,,,,,
18,A*,18,0.00021,,,,,,,,,,
18,A*,19,0.00072,,,,,,,,,,
18,A*,20,0.00013,,,,,,,,,,
19,A*,3,8.00E-05,,,,,,,,,,
19,A*,4,0.00011,,,,,,,,,,
19,A*,5,0.00042,,,,,,,,,,
19,A*,6,0.00049,,,,,,,,,,
